2026-05-04 16:22:50,941 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:25:22,331 | INFO | app.core.logger | 200. Producto reemplazado
2026-05-04 16:25:46,680 | INFO | app.core.logger | 200. Producto reemplazado
2026-05-04 16:25:57,954 | INFO | app.core.logger | 200. Producto reemplazado
2026-05-04 16:29:38,379 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:29:44,749 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:32:46,111 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:45:04,703 | INFO | app.core.logger | 200. Usuario consultado
2026-05-04 16:45:04,905 | INFO | app.core.logger | 200. Token generado
2026-05-04 16:45:14,967 | INFO | app.core.logger | 200. Producto eliminado
2026-05-04 16:45:17,604 | ERROR | app.core.logger | 404. Producto no encontrado
2026-05-04 16:51:03,205 | INFO | app.core.logger | 200. Producto registrado
2026-05-04 16:52:03,831 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:52:09,793 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:52:16,518 | INFO | app.core.logger | 200. Producto reemplazado
2026-05-04 16:52:21,640 | INFO | app.core.logger | 200. Producto eliminado
2026-05-04 16:53:55,090 | INFO | app.core.logger | 200. Producto registrado
2026-05-04 16:55:21,216 | INFO | app.core.logger | 200. Producto eliminado
2026-05-04 17:11:48,670 | INFO | app.core.logger | 200. Producto registrado
2026-05-04 17:11:51,799 | ERROR | app.core.logger | 409. Producto repetido
2026-05-04 17:11:53,072 | ERROR | app.core.logger | 409. Producto repetido
2026-05-04 17:54:01,123 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 18:01:42,828 | ERROR | app.core.logger | 409. Usuario ya existe
2026-05-04 18:01:52,812 | ERROR | app.core.logger | 409. Usuario ya existe
2026-05-04 18:01:56,870 | ERROR | app.core.logger | 409. Usuario ya existe
2026-05-04 18:02:23,837 | ERROR | app.core.logger | 200. Usuario creado
2026-05-04 18:19:58,612 | ERROR | app.core.logger | 401. Contraseña no es correcta
2026-05-04 18:20:03,634 | ERROR | app.core.logger | 401. Contraseña no es correcta
2026-05-04 18:20:22,904 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:20:30,583 | ERROR | app.core.logger | 409. Usuario ya existe
2026-05-04 18:20:32,930 | ERROR | app.core.logger | 409. Usuario ya existe
2026-05-04 18:20:40,406 | ERROR | app.core.logger | 409. Usuario ya existe
2026-05-04 18:20:45,329 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:22:24,875 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:22:29,099 | INFO | app.core.logger | 200. Usuario registrado
2026-05-04 18:23:44,384 | ERROR | app.core.logger | 409. Usuario ya existe
2026-05-04 18:23:48,969 | ERROR | app.core.logger | 200. Usuario creado
2026-05-04 18:25:07,520 | INFO | app.core.logger | 200. Usuario registrado
2026-05-04 18:25:43,351 | ERROR | app.core.logger | 200. Usuario creado
2026-05-04 18:25:50,744 | INFO | app.core.logger | 200. Usuario registrado
2026-05-04 18:25:56,212 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:26:29,835 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:28:06,981 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:28:08,274 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:28:29,337 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:28:30,510 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:29:10,186 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:29:56,122 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:06,965 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:39,925 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:40,571 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:40,745 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:40,905 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:41,082 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:41,239 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:41,413 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:41,592 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:41,766 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:42,178 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:42,529 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:30:42,755 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:04,949 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:05,382 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:05,728 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:05,904 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:19,846 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:20,565 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:21,307 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:25,532 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:26,085 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:26,326 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:29,298 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:31:32,099 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:32:23,390 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:32:24,673 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:32:24,999 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:35:57,716 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:35:58,734 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:36:19,774 | ERROR | app.core.logger | 409. Usuario ya esta registrado
